CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
108044,QUIRUVILCA,1990,1,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,2,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,3,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,4,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,5,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,6,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,7,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,8,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,9,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,10,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,11,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1990,12,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,1,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,2,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,3,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,4,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,5,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,6,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,7,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,8,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,9,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,10,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,11,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1991,12,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,1,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,2,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,3,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,4,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,5,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,6,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,7,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,8,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,9,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,10,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,11,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1992,12,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,1,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,2,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,3,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,4,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,5,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,6,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,7,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,8,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,9,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,10,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,11,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1993,12,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,1,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,2,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,3,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,4,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,5,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,6,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,7,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,8,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,9,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,10,-999.0,-999.0,-999.0
108044,QUIRUVILCA,1994,11,-999.0,-999.0,-999.0
