NOMBRE,FECHA,PP,T
SAN PABLO,2026-02-12 06:00:00,0.0,17.8
SAN PABLO,2026-02-12 07:00:00,3.4,17.9
SAN PABLO,2026-02-12 08:00:00,0.2,18.9
SAN PABLO,2026-02-12 09:00:00,0.0,20.6
SAN PABLO,2026-02-12 10:00:00,0.0,23.5
SAN PABLO,2026-02-12 11:00:00,0.0,25.1
SAN PABLO,2026-02-12 12:00:00,0.0,25.9
SAN PABLO,2026-02-12 13:00:00,0.0,25.6
SAN PABLO,2026-02-12 14:00:00,0.0,24.1
SAN PABLO,2026-02-12 15:00:00,0.6,22.9
SAN PABLO,2026-02-12 16:00:00,0.2,25.5
SAN PABLO,2026-02-12 17:00:00,0.0,25.4
SAN PABLO,2026-02-12 18:00:00,0.0,22.2
SAN PABLO,2026-02-12 19:00:00,0.0,20.5
SAN PABLO,2026-02-12 20:00:00,0.0,19.1
SAN PABLO,2026-02-12 21:00:00,0.0,18.5
SAN PABLO,2026-02-12 22:00:00,,
SAN PABLO,2026-02-12 23:00:00,0.0,19.0
SAN PABLO,2026-02-13 00:00:00,0.0,19.0
SAN PABLO,2026-02-13 01:00:00,0.0,18.7
SAN PABLO,2026-02-13 02:00:00,0.0,18.7
SAN PABLO,2026-02-13 03:00:00,1.8,18.6
SAN PABLO,2026-02-13 04:00:00,0.2,18.5
SAN PABLO,2026-02-13 05:00:00,0.0,18.5
SAN PABLO,2026-02-13 06:00:00,0.0,18.4
SAN PABLO,2026-02-13 07:00:00,0.0,18.4
SAN PABLO,2026-02-13 08:00:00,0.0,19.1
SAN PABLO,2026-02-13 09:00:00,0.0,21.3
SAN PABLO,2026-02-13 10:00:00,0.0,25.2
SAN PABLO,2026-02-13 11:00:00,0.0,27.8
SAN PABLO,2026-02-13 12:00:00,0.0,28.6
SAN PABLO,2026-02-13 13:00:00,0.0,27.9
SAN PABLO,2026-02-13 14:00:00,0.0,30.2
SAN PABLO,2026-02-13 15:00:00,0.2,30.0
SAN PABLO,2026-02-13 16:00:00,0.0,27.9
SAN PABLO,2026-02-13 17:00:00,0.0,26.6
SAN PABLO,2026-02-13 18:00:00,0.0,24.1
SAN PABLO,2026-02-13 19:00:00,,
SAN PABLO,2026-02-13 20:00:00,0.4,21.1
SAN PABLO,2026-02-13 21:00:00,0.2,20.3
SAN PABLO,2026-02-13 22:00:00,0.0,20.1
SAN PABLO,2026-02-13 23:00:00,0.0,20.0
SAN PABLO,2026-02-14 00:00:00,0.2,19.8
SAN PABLO,2026-02-14 01:00:00,0.2,19.6
SAN PABLO,2026-02-14 02:00:00,0.0,19.5
SAN PABLO,2026-02-14 03:00:00,0.2,19.5
SAN PABLO,2026-02-14 04:00:00,1.0,19.5
SAN PABLO,2026-02-14 05:00:00,1.4,19.1
SAN PABLO,2026-02-14 06:00:00,1.6,18.9
SAN PABLO,2026-02-14 07:00:00,0.0,18.9
SAN PABLO,2026-02-14 08:00:00,0.2,19.4
SAN PABLO,2026-02-14 09:00:00,0.2,20.2
SAN PABLO,2026-02-14 10:00:00,0.0,21.8
SAN PABLO,2026-02-14 11:00:00,0.0,23.5
SAN PABLO,2026-02-14 12:00:00,0.0,24.6
SAN PABLO,2026-02-14 13:00:00,0.0,27.4
SAN PABLO,2026-02-14 14:00:00,0.0,29.1
SAN PABLO,2026-02-14 15:00:00,0.0,27.5
SAN PABLO,2026-02-14 16:00:00,0.0,28.0
SAN PABLO,2026-02-14 17:00:00,0.0,26.6
SAN PABLO,2026-02-14 18:00:00,0.0,24.9
SAN PABLO,2026-02-14 19:00:00,0.0,22.2
SAN PABLO,2026-02-14 20:00:00,1.2,20.2
SAN PABLO,2026-02-14 21:00:00,2.4,19.8
SAN PABLO,2026-02-14 22:00:00,2.4,19.4
SAN PABLO,2026-02-14 23:00:00,0.8,19.0
SAN PABLO,2026-02-15 00:00:00,0.0,18.7
SAN PABLO,2026-02-15 01:00:00,0.2,18.6
SAN PABLO,2026-02-15 02:00:00,0.0,18.6
SAN PABLO,2026-02-15 03:00:00,0.2,18.6
SAN PABLO,2026-02-15 04:00:00,0.0,18.6
SAN PABLO,2026-02-15 05:00:00,0.2,18.6
SAN PABLO,2026-02-15 06:00:00,0.0,18.6
SAN PABLO,2026-02-15 07:00:00,0.4,18.7
SAN PABLO,2026-02-15 08:00:00,0.0,19.2
SAN PABLO,2026-02-15 09:00:00,0.2,20.4
SAN PABLO,2026-02-15 10:00:00,0.0,22.0
SAN PABLO,2026-02-15 11:00:00,0.0,24.5
SAN PABLO,2026-02-15 12:00:00,0.0,27.3
SAN PABLO,2026-02-15 13:00:00,0.0,26.8
SAN PABLO,2026-02-15 14:00:00,0.0,27.4
SAN PABLO,2026-02-15 15:00:00,0.0,27.7
SAN PABLO,2026-02-15 16:00:00,0.0,27.4
SAN PABLO,2026-02-15 17:00:00,0.0,25.0
SAN PABLO,2026-02-15 18:00:00,0.0,23.6
SAN PABLO,2026-02-15 19:00:00,,21.9
SAN PABLO,2026-02-15 20:00:00,0.0,20.4
SAN PABLO,2026-02-15 21:00:00,0.0,19.9
SAN PABLO,2026-02-15 22:00:00,0.0,19.7
SAN PABLO,2026-02-15 23:00:00,0.0,19.5
SAN PABLO,2026-02-16 00:00:00,0.6,19.6
SAN PABLO,2026-02-16 01:00:00,0.4,19.4
SAN PABLO,2026-02-16 02:00:00,0.2,19.2
SAN PABLO,2026-02-16 03:00:00,2.6,18.9
SAN PABLO,2026-02-16 04:00:00,5.0,18.6
SAN PABLO,2026-02-16 05:00:00,6.4,18.5
SAN PABLO,2026-02-16 06:00:00,3.4,18.4
SAN PABLO,2026-02-16 07:00:00,1.4,18.4
SAN PABLO,2026-02-16 08:00:00,0.4,18.9
SAN PABLO,2026-02-16 09:00:00,0.2,19.1
SAN PABLO,2026-02-16 10:00:00,0.2,19.7
SAN PABLO,2026-02-16 11:00:00,0.4,19.8
SAN PABLO,2026-02-16 12:00:00,0.2,20.0
SAN PABLO,2026-02-16 13:00:00,0.4,20.6
SAN PABLO,2026-02-16 14:00:00,0.0,20.9
SAN PABLO,2026-02-16 15:00:00,0.0,22.5
SAN PABLO,2026-02-16 16:00:00,0.0,22.8
SAN PABLO,2026-02-16 17:00:00,0.0,23.8
SAN PABLO,2026-02-16 18:00:00,0.0,20.8
SAN PABLO,2026-02-16 19:00:00,0.0,18.7
SAN PABLO,2026-02-16 20:00:00,0.0,17.8
SAN PABLO,2026-02-16 21:00:00,0.0,17.6
SAN PABLO,2026-02-16 22:00:00,0.0,17.4
SAN PABLO,2026-02-16 23:00:00,0.0,17.2
SAN PABLO,2026-02-17 00:00:00,0.0,17.5
SAN PABLO,2026-02-17 01:00:00,0.0,17.8
SAN PABLO,2026-02-17 02:00:00,0.0,17.8
SAN PABLO,2026-02-17 03:00:00,0.0,17.8
SAN PABLO,2026-02-17 04:00:00,0.2,17.7
SAN PABLO,2026-02-17 05:00:00,0.0,17.5
SAN PABLO,2026-02-17 06:00:00,0.0,17.5
SAN PABLO,2026-02-17 07:00:00,0.0,17.7
SAN PABLO,2026-02-17 08:00:00,0.0,18.7
SAN PABLO,2026-02-17 09:00:00,0.0,20.8
SAN PABLO,2026-02-17 10:00:00,0.0,25.4
SAN PABLO,2026-02-17 11:00:00,0.0,26.9
SAN PABLO,2026-02-17 12:00:00,0.0,26.8
