NOMBRE,FECHA,PP,T
HUAYLLABAMBA,2026-02-12 08:00:00,,10.4
HUAYLLABAMBA,2026-02-12 09:00:00,,16.7
HUAYLLABAMBA,2026-02-12 10:00:00,,16.4
HUAYLLABAMBA,2026-02-12 11:00:00,,16.6
HUAYLLABAMBA,2026-02-12 12:00:00,,17.8
HUAYLLABAMBA,2026-02-12 13:00:00,,16.4
HUAYLLABAMBA,2026-02-12 14:00:00,,17.8
HUAYLLABAMBA,2026-02-12 15:00:00,,16.1
HUAYLLABAMBA,2026-02-12 16:00:00,,14.8
HUAYLLABAMBA,2026-02-12 17:00:00,,13.7
HUAYLLABAMBA,2026-02-12 18:00:00,,12.0
HUAYLLABAMBA,2026-02-12 19:00:00,,12.0
HUAYLLABAMBA,2026-02-12 20:00:00,,10.0
HUAYLLABAMBA,2026-02-12 21:00:00,,9.4
HUAYLLABAMBA,2026-02-12 22:00:00,,9.5
HUAYLLABAMBA,2026-02-12 23:00:00,,10.3
HUAYLLABAMBA,2026-02-13 00:00:00,,10.5
HUAYLLABAMBA,2026-02-13 01:00:00,,10.4
HUAYLLABAMBA,2026-02-13 02:00:00,,10.2
HUAYLLABAMBA,2026-02-13 03:00:00,,9.8
HUAYLLABAMBA,2026-02-13 04:00:00,,9.9
HUAYLLABAMBA,2026-02-13 05:00:00,,9.9
HUAYLLABAMBA,2026-02-13 06:00:00,,10.0
HUAYLLABAMBA,2026-02-13 07:00:00,,10.5
HUAYLLABAMBA,2026-02-13 08:00:00,,11.6
HUAYLLABAMBA,2026-02-13 09:00:00,,14.1
HUAYLLABAMBA,2026-02-13 10:00:00,,16.1
HUAYLLABAMBA,2026-02-13 11:00:00,,17.1
HUAYLLABAMBA,2026-02-13 12:00:00,,16.9
HUAYLLABAMBA,2026-02-13 13:00:00,,18.3
HUAYLLABAMBA,2026-02-13 14:00:00,,18.5
HUAYLLABAMBA,2026-02-13 15:00:00,,17.2
HUAYLLABAMBA,2026-02-13 16:00:00,,16.9
HUAYLLABAMBA,2026-02-13 17:00:00,,14.5
HUAYLLABAMBA,2026-02-13 18:00:00,,13.7
HUAYLLABAMBA,2026-02-13 19:00:00,,13.7
HUAYLLABAMBA,2026-02-13 20:00:00,,12.5
HUAYLLABAMBA,2026-02-13 21:00:00,,12.1
HUAYLLABAMBA,2026-02-13 22:00:00,,12.0
HUAYLLABAMBA,2026-02-13 23:00:00,,11.9
HUAYLLABAMBA,2026-02-14 00:00:00,,11.7
HUAYLLABAMBA,2026-02-14 01:00:00,,11.4
HUAYLLABAMBA,2026-02-14 02:00:00,,11.0
HUAYLLABAMBA,2026-02-14 03:00:00,,10.6
HUAYLLABAMBA,2026-02-14 04:00:00,,10.5
HUAYLLABAMBA,2026-02-14 05:00:00,,10.4
HUAYLLABAMBA,2026-02-14 06:00:00,,10.3
HUAYLLABAMBA,2026-02-14 07:00:00,,10.5
HUAYLLABAMBA,2026-02-14 08:00:00,,11.6
HUAYLLABAMBA,2026-02-14 09:00:00,,12.5
HUAYLLABAMBA,2026-02-14 10:00:00,,14.8
HUAYLLABAMBA,2026-02-14 11:00:00,,16.7
HUAYLLABAMBA,2026-02-14 12:00:00,,17.5
HUAYLLABAMBA,2026-02-14 13:00:00,,17.4
HUAYLLABAMBA,2026-02-14 14:00:00,,18.0
HUAYLLABAMBA,2026-02-14 15:00:00,,17.7
HUAYLLABAMBA,2026-02-14 16:00:00,,16.7
HUAYLLABAMBA,2026-02-14 17:00:00,,14.6
HUAYLLABAMBA,2026-02-14 18:00:00,,13.9
HUAYLLABAMBA,2026-02-14 19:00:00,,13.1
HUAYLLABAMBA,2026-02-14 20:00:00,,12.1
HUAYLLABAMBA,2026-02-14 21:00:00,,11.2
HUAYLLABAMBA,2026-02-14 22:00:00,,10.9
HUAYLLABAMBA,2026-02-14 23:00:00,,10.6
HUAYLLABAMBA,2026-02-15 00:00:00,,10.4
HUAYLLABAMBA,2026-02-15 01:00:00,,10.3
